,ENTIDAD,A??o,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
0,PAITA,2003,ENERO,12.74316566,22.25041006,3.235921268
1,AMOTAPE,2003,ENERO,14.01149866,23.19752772,4.825469604
2,COL?N,2003,ENERO,18.44599782,27.02300372,9.868991928
3,EL ARENAL,2003,ENERO,21.0765681,27.8452509,14.3078853
4,LA HUACA,2003,ENERO,13.5540747,22.02139219,5.086757216
5,TAMARINDO,2003,ENERO,25.48252688,32.9594086,18.00564516
6,VICHAYAL,2003,ENERO,21.57462514,28.37890809,14.77034219
7,CHULUCANAS,2003,ENERO,11.20596762,20.46299461,1.948940622
8,BUENOS AIRES,2003,ENERO,12.97723421,19.90603169,6.048436725
9,CHALACO,2003,ENERO,11.60125639,20.93726424,2.265248533
10,LA MATANZA,2003,ENERO,14.07546345,22.74744887,5.403478023
11,MORROP?N,2003,ENERO,23.55302154,30.85985306,16.24619003
12,SALITRAL,2003,ENERO,12.51049909,20.71485088,4.306147292
13,SAN JUAN DE BIGOTE,2003,ENERO,16.76385578,26.12852503,7.399186538
14,SANTA CATALINA DE MOSSA,2003,ENERO,10.78777299,19.34396604,2.231579938
15,SANTO DOMINGO,2003,ENERO,14.693025,22.87043922,6.51561079
16,YAMANGO,2003,ENERO,18.70546813,27.26994493,10.14099134
17,HUANCABAMBA,2003,ENERO,21.2679454,31.26755609,11.26833471
18,CANCHAQUE,2003,ENERO,11.86082949,19.92327189,3.798387097
19,EL CARMEN DE LA FRONTERA,2003,ENERO,20.09272016,27.72613418,12.45930615
20,HUARMACA,2003,ENERO,12.82891705,18.44585253,7.211981567
21,LALAQUIZ,2003,ENERO,14.45800554,23.30769231,5.608318767
22,SAN MIGUEL DE EL FAIQUE,2003,ENERO,20.86775287,27.5205639,14.21494184
23,SONDOR,2003,ENERO,15.24272216,22.80124692,7.684197396
24,SONDORILLO,2003,ENERO,21.57283531,31.21867572,11.92699491
25,AYABACA,2003,ENERO,17.00462255,27.42552727,6.583717825
26,FR?AS,2003,ENERO,22.12824601,26.91252847,17.34396355
27,JILIL?,2003,ENERO,16.01774934,22.17830581,9.857192875
