,ENTIDAD,A?O,MES,TEMPERATURA_PROMEDIO,TEMPERATURA_MAXIMA,TEMPERATURA_MINIMA
0,PAITA,2003,ENERO,12.74316566,22.25041006,3.23592127
1,AMOTAPE,2003,ENERO,14.01149866,23.19752772,4.82546960
2,COLAN,2003,ENERO,18.44599782,27.02300372,9.86899193
3,EL ARENAL,2003,ENERO,21.07656810,27.84525090,14.30788530
4,LA HUACA,2003,ENERO,13.55407470,22.02139219,5.08675722
5,TAMARINDO,2003,ENERO,25.48252688,32.95940860,18.00564516
6,VICHAYAL,2003,ENERO,21.57462514,28.37890809,14.77034219
7,CHULUCANAS,2003,ENERO,11.20596762,20.46299461,1.94894062
8,BUENOS AIRES,2003,ENERO,12.97723421,19.90603169,6.04843673
9,CHALACO,2003,ENERO,11.60125639,20.93726424,2.26524853
10,LA MATANZA,2003,ENERO,14.07546345,22.74744887,5.40347802
11,MORROPON,2003,ENERO,23.55302154,30.85985306,16.24619003
12,SALITRAL,2003,ENERO,12.51049909,20.71485088,4.30614729
13,SAN JUAN DE BIGOTE,2003,ENERO,16.76385578,26.12852503,7.39918654
14,SANTA CATALINA DE MOSSA,2003,ENERO,10.78777299,19.34396604,2.23157994
15,SANTO DOMINGO,2003,ENERO,14.69302500,22.87043922,6.51561079
16,YAMANGO,2003,ENERO,18.70546813,27.26994493,10.14099134
17,HUANCABAMBA,2003,ENERO,21.26794540,31.26755609,11.26833471
18,CANCHAQUE,2003,ENERO,11.86082949,19.92327189,3.79838710
19,EL CARMEN DE LA FRONTERA,2003,ENERO,20.09272016,27.72613418,12.45930615
20,HUARMACA,2003,ENERO,12.82891705,18.44585253,7.21198157
21,LALAQUIZ,2003,ENERO,14.45800554,23.30769231,5.60831877
22,SAN MIGUEL DE EL FAIQUE,2003,ENERO,20.86775287,27.52056390,14.21494184
23,SONDOR,2003,ENERO,15.24272216,22.80124692,7.68419740
24,SONDORILLO,2003,ENERO,21.57283531,31.21867572,11.92699491
25,AYABACA,2003,ENERO,17.00462255,27.42552727,6.58371783
26,FRIAS,2003,ENERO,22.12824601,26.91252847,17.34396355
27,JILILI,2003,ENERO,16.01774934,22.17830581,9.85719288
28,LAGUNAS,2003,ENERO,11.59435484,20.95177419,2.23693548
29,MONTERO,2003,ENERO,18.13264949,23.21807238,13.04722659
30,PACAIPAMPA,2003,ENERO,20.38117117,27.02288288,13.73945946
31,PAIMAS,2003,ENERO,12.07499109,21.54824172,2.60174045
32,SAPILLICA,2003,ENERO,16.54023543,24.57454832,8.50592254
33,PAITA,2003,FEBRERO,15.10562954,25.06658596,5.14467312
34,AMOTAPE,2003,FEBRERO,12.16539536,18.81253674,5.51825397
35,COLAN,2003,FEBRERO,18.25050017,25.82018670,10.68081364
36,EL ARENAL,2003,FEBRERO,25.30822173,32.64583333,17.97061012
37,LA HUACA,2003,FEBRERO,16.03593881,24.34608396,7.72579365
38,TAMARINDO,2003,FEBRERO,24.66577381,32.97678571,16.35476190
39,VICHAYAL,2003,FEBRERO,23.24427211,30.96314357,15.52540064
