,ENTIDAD,AÃ±o,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
0,PAITA,2003,ENERO,12.743,22.25,3.236
1,AMOTAPE,2003,ENERO,14.011,23.198,4.825
2,COLÁN,2003,ENERO,18.446,27.023,9.869
3,EL ARENAL,2003,ENERO,21.077,27.845,14.308
4,LA HUACA,2003,ENERO,13.554,22.021,5.087
5,TAMARINDO,2003,ENERO,25.483,32.959,18.006
6,VICHAYAL,2003,ENERO,21.575,28.379,14.77
7,CHULUCANAS,2003,ENERO,11.206,20.463,1.949
8,BUENOS AIRES,2003,ENERO,12.977,19.906,6.048
9,CHALACO,2003,ENERO,11.601,20.937,2.265
10,LA MATANZA,2003,ENERO,14.075,22.747,5.403
11,MORROPÓN,2003,ENERO,23.553,30.86,16.246
12,SALITRAL,2003,ENERO,12.51,20.715,4.306
13,SAN JUAN DE BIGOTE,2003,ENERO,16.764,26.129,7.399
14,SANTA CATALINA DE MOSSA,2003,ENERO,10.788,19.344,2.232
15,SANTO DOMINGO,2003,ENERO,14.693,22.87,6.516
16,YAMANGO,2003,ENERO,18.705,27.27,10.141
17,HUANCABAMBA,2003,ENERO,21.268,31.268,11.268
18,CANCHAQUE,2003,ENERO,11.861,19.923,3.798
19,EL CARMEN DE LA FRONTERA,2003,ENERO,20.093,27.726,12.459
20,HUARMACA,2003,ENERO,12.829,18.446,7.212
21,LALAQUIZ,2003,ENERO,14.458,23.308,5.608
22,SAN MIGUEL DE EL FAIQUE,2003,ENERO,20.868,27.521,14.215
23,SONDOR,2003,ENERO,15.243,22.801,7.684
24,SONDORILLO,2003,ENERO,21.573,31.219,11.927
25,AYABACA,2003,ENERO,17.005,27.426,6.584
26,FRÍAS,2003,ENERO,22.128,26.913,17.344
27,JILILÍ,2003,ENERO,16.018,22.178,9.857
28,LAGUNAS,2003,ENERO,11.594,20.952,2.237
29,MONTERO,2003,ENERO,18.133,23.218,13.047
30,PACAIPAMPA,2003,ENERO,20.381,27.023,13.739
31,PAIMAS,2003,ENERO,12.075,21.548,2.602
32,SAPILLICA,2003,ENERO,16.54,24.575,8.506
33,PAITA,2003,FEBRERO,15.106,25.067,5.145
34,AMOTAPE,2003,FEBRERO,12.165,18.813,5.518
35,COLÁN,2003,FEBRERO,18.251,25.82,10.681
36,EL ARENAL,2003,FEBRERO,25.308,32.646,17.971
37,LA HUACA,2003,FEBRERO,16.036,24.346,7.726
38,TAMARINDO,2003,FEBRERO,24.666,32.977,16.355
39,VICHAYAL,2003,FEBRERO,23.244,30.963,15.525
40,CHULUCANAS,2003,FEBRERO,12.259,20.755,3.763
41,BUENOS AIRES,2003,FEBRERO,15.864,24.339,7.389
42,CHALACO,2003,FEBRERO,12.959,21.898,4.02
43,LA MATANZA,2003,FEBRERO,16.365,26,6.73
44,MORROPÓN,2003,FEBRERO,24.174,32.151,16.196
45,SALITRAL,2003,FEBRERO,15.975,25.592,6.358
46,SAN JUAN DE BIGOTE,2003,FEBRERO,18.201,28.273,8.13
47,SANTA CATALINA DE MOSSA,2003,FEBRERO,12.89,22.699,3.081
48,SANTO DOMINGO,2003,FEBRERO,16.067,25.444,6.691
49,YAMANGO,2003,FEBRERO,20.456,29.863,11.048
50,HUANCABAMBA,2003,FEBRERO,21.195,31.089,11.302
51,CANCHAQUE,2003,FEBRERO,14.216,22.479,5.953
52,EL CARMEN DE LA FRONTERA,2003,FEBRERO,21.922,30.566,13.278
53,HUARMACA,2003,FEBRERO,15.951,22.604,9.298
54,LALAQUIZ,2003,FEBRERO,16.631,25.605,7.657
55,SAN MIGUEL DE EL FAIQUE,2003,FEBRERO,24.39,31.22,17.56
56,SONDOR,2003,FEBRERO,18.791,27.037,10.545
57,SONDORILLO,2003,FEBRERO,20.873,29.126,12.62
58,AYABACA,2003,FEBRERO,15.801,24.126,7.476
59,FRÍAS,2003,FEBRERO,25.477,31.374,19.581
60,JILILÍ,2003,FEBRERO,19.139,25.992,12.286
61,LAGUNAS,2003,FEBRERO,13.642,24.073,3.211
62,MONTERO,2003,FEBRERO,21.296,27.534,15.058
63,PACAIPAMPA,2003,FEBRERO,25.3,32.493,18.106
64,PAIMAS,2003,FEBRERO,14.132,23.718,4.546
65,SAPILLICA,2003,FEBRERO,18.398,26.771,10.025
66,PAITA,2003,MARZO,16.571,27.337,5.805
67,AMOTAPE,2003,MARZO,14.81,21.767,7.852
68,COLÁN,2003,MARZO,18.886,27.273,10.499
69,EL ARENAL,2003,MARZO,26.615,34.367,18.864
70,LA HUACA,2003,MARZO,18.198,27.717,8.679
71,TAMARINDO,2003,MARZO,24.177,33.018,15.335
72,VICHAYAL,2003,MARZO,24.643,32.293,16.993
73,CHULUCANAS,2003,MARZO,14.387,23.669,5.105
74,BUENOS AIRES,2003,MARZO,16.863,25.433,8.292
75,CHALACO,2003,MARZO,15.032,25.074,4.99
76,LA MATANZA,2003,MARZO,18.084,27.99,8.179
77,MORROPÓN,2003,MARZO,24.635,32.826,16.444
78,SALITRAL,2003,MARZO,17.389,26.815,7.964
79,SAN JUAN DE BIGOTE,2003,MARZO,19.369,30.281,8.457
80,SANTA CATALINA DE MOSSA,2003,MARZO,14.294,23.983,4.605
81,SANTO DOMINGO,2003,MARZO,17.465,27.559,7.371
82,YAMANGO,2003,MARZO,22.186,32.073,12.3
83,HUANCABAMBA,2003,MARZO,22.34,32.941,11.738
84,CANCHAQUE,2003,MARZO,16.155,25.592,6.718
85,EL CARMEN DE LA FRONTERA,2003,MARZO,23.078,31.496,14.66
86,HUARMACA,2003,MARZO,17.536,24.301,10.771
87,LALAQUIZ,2003,MARZO,17.61,26.261,8.959
88,SAN MIGUEL DE EL FAIQUE,2003,MARZO,25.973,32.985,18.961
89,SONDOR,2003,MARZO,21.331,30.271,12.39
90,SONDORILLO,2003,MARZO,21.226,31.521,10.93
91,AYABACA,2003,MARZO,17.535,27.68,7.389
92,FRÍAS,2003,MARZO,28.162,35.359,20.965
93,JILILÍ,2003,MARZO,22.35,29.776,14.924
94,LAGUNAS,2003,MARZO,14.931,25.459,4.403
95,MONTERO,2003,MARZO,23.758,30.393,17.122
