,ENTIDAD,AÃ±o,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
0,Paita,2003,ENERO,12.743,22.250,3.236
1,Amotape,2003,ENERO,14.011,23.198,4.825
2,Colán,2003,ENERO,18.446,27.023,9.869
3,El Arenal,2003,ENERO,21.077,27.845,14.308
4,La Huaca,2003,ENERO,13.554,22.021,5.087
5,Tamarindo,2003,ENERO,25.483,32.959,18.006
6,Vichayal,2003,ENERO,21.575,28.379,14.770
7,Chulucanas,2003,ENERO,11.206,20.463,1.949
8,Buenos Aires,2003,ENERO,12.977,19.906,6.048
9,Chalaco,2003,ENERO,11.601,20.937,2.265
10,La Matanza,2003,ENERO,14.075,22.747,5.403
11,Morropón,2003,ENERO,23.553,30.860,16.246
12,Salitral,2003,ENERO,12.510,20.715,4.306
13,San Juan de Bigote,2003,ENERO,16.764,26.129,7.399
14,Santa Catalina de Mossa,2003,ENERO,10.788,19.344,2.232
15,Santo Domingo,2003,ENERO,14.693,22.870,6.516
16,Yamango,2003,ENERO,18.705,27.270,10.141
17,Huancabamba,2003,ENERO,21.268,31.268,11.268
18,Canchaque,2003,ENERO,11.861,19.923,3.798
19,El Carmen de la Frontera,2003,ENERO,20.093,27.726,12.459
20,Huarmaca,2003,ENERO,12.829,18.446,7.212
21,Lalaquiz,2003,ENERO,14.458,23.308,5.608
22,San Miguel de El Faique,2003,ENERO,20.868,27.521,14.215
23,Sondor,2003,ENERO,15.243,22.801,7.684
24,Sondorillo,2003,ENERO,21.573,31.219,11.927
25,Ayabaca,2003,ENERO,17.005,27.426,6.584
26,Frías,2003,ENERO,22.128,26.913,17.344
27,Jililí,2003,ENERO,16.018,22.178,9.857
28,Lagunas,2003,ENERO,11.594,20.952,2.237
29,Montero,2003,ENERO,18.133,23.218,13.047
30,Pacaipampa,2003,ENERO,20.381,27.023,13.739
31,Paimas,2003,ENERO,12.075,21.548,2.602
32,Sapillica,2003,ENERO,16.540,24.575,8.506
33,Paita,2003,FEBRERO,15.106,25.067,5.145
34,Amotape,2003,FEBRERO,12.165,18.813,5.518
35,Colán,2003,FEBRERO,18.251,25.820,10.681
36,El Arenal,2003,FEBRERO,25.308,32.646,17.971
37,La Huaca,2003,FEBRERO,16.036,24.346,7.726
38,Tamarindo,2003,FEBRERO,24.666,32.977,16.355
39,Vichayal,2003,FEBRERO,23.244,30.963,15.525
40,Chulucanas,2003,FEBRERO,12.259,20.755,3.763
41,Buenos Aires,2003,FEBRERO,15.864,24.339,7.389
42,Chalaco,2003,FEBRERO,12.959,21.898,4.020
43,La Matanza,2003,FEBRERO,16.365,26.000,6.730
44,Morropón,2003,FEBRERO,24.174,32.151,16.196
45,Salitral,2003,FEBRERO,15.975,25.592,6.358
46,San Juan de Bigote,2003,FEBRERO,18.201,28.273,8.130
47,Santa Catalina de Mossa,2003,FEBRERO,12.890,22.699,3.081
48,Santo Domingo,2003,FEBRERO,16.067,25.444,6.691
49,Yamango,2003,FEBRERO,20.456,29.863,11.048
50,Huancabamba,2003,FEBRERO,21.195,31.089,11.302
51,Canchaque,2003,FEBRERO,14.216,22.479,5.953
52,El Carmen de la Frontera,2003,FEBRERO,21.922,30.566,13.278
53,Huarmaca,2003,FEBRERO,15.951,22.604,9.298
54,Lalaquiz,2003,FEBRERO,16.631,25.605,7.657
55,San Miguel de El Faique,2003,FEBRERO,24.390,31.220,17.560
56,Sondor,2003,FEBRERO,18.791,27.037,10.545
57,Sondorillo,2003,FEBRERO,20.873,29.126,12.620
58,Ayabaca,2003,FEBRERO,15.801,24.126,7.476
59,Frías,2003,FEBRERO,25.477,31.374,19.581
60,Jililí,2003,FEBRERO,19.139,25.992,12.286
61,Lagunas,2003,FEBRERO,13.642,24.073,3.211
62,Montero,2003,FEBRERO,21.296,27.534,15.058
63,Pacaipampa,2003,FEBRERO,25.300,32.493,18.106
64,Paimas,2003,FEBRERO,14.132,23.718,4.546
65,Sapillica,2003,FEBRERO,18.398,26.771,10.025
66,Paita,2003,MARZO,16.571,27.337,5.805
67,Amotape,2003,MARZO,14.810,21.767,7.852
68,Colán,2003,MARZO,18.886,27.273,10.499
69,El Arenal,2003,MARZO,26.615,34.367,18.864
70,La Huaca,2003,MARZO,18.198,27.717,8.679
71,Tamarindo,2003,MARZO,24.177,33.018,15.335
72,Vichayal,2003,MARZO,24.643,32.293,16.993
73,Chulucanas,2003,MARZO,14.387,23.669,5.105
74,Buenos Aires,2003,MARZO,16.863,25.433,8.292
75,Chalaco,2003,MARZO,15.032,25.074,4.990
76,La Matanza,2003,MARZO,18.084,27.990,8.179
77,Morropón,2003,MARZO,24.635,32.826,16.444
78,Salitral,2003,MARZO,17.389,26.815,7.964
79,San Juan de Bigote,2003,MARZO,19.369,30.281,8.457
80,Santa Catalina de Mossa,2003,MARZO,14.294,23.983,4.605
81,Santo Domingo,2003,MARZO,17.465,27.559,7.371
82,Yamango,2003,MARZO,22.186,32.073,12.300
83,Huancabamba,2003,MARZO,22.340,32.941,11.738
84,Canchaque,2003,MARZO,16.155,25.592,6.718
85,El Carmen de la Frontera,2003,MARZO,23.078,31.496,14.660
86,Huarmaca,2003,MARZO,17.536,24.301,10.771
87,Lalaquiz,2003,MARZO,17.610,26.261,8.959
88,San Miguel de El Faique,2003,MARZO,25.973,32.985,18.961
89,Sondor,2003,MARZO,21.331,30.271,12.390
90,Sondorillo,2003,MARZO,21.226,31.521,10.930
91,Ayabaca,2003,MARZO,17.535,27.680,7.389
92,Frías,2003,MARZO,28.162,35.359,20.965
93,Jililí,2003,MARZO,22.350,29.776,14.924
94,Lagunas,2003,MARZO,14.931,25.459,4.403
95,Montero,2003,MARZO,23.758,30.393,17.122
96,Pacaipampa,2003,MARZO,27.556,35.637,19.475
97,Paimas,2003,MARZO,15.557,26.229,4.885
98,Sapillica,2003,MARZO,19.959,28.918,11.001
99,Paita,2003,ABRIL,19.927,29.940,9.914
100,Amotape,2003,ABRIL,14.080,21.732,6.429
101,Colán,2003,ABRIL,20.543,29.021,12.064
102,El Arenal,2003,ABRIL,27.135,35.045,19.225
103,La Huaca,2003,ABRIL,22.578,31.905,13.250
104,Tamarindo,2003,ABRIL,26.317,34.034,18.600
105,Vichayal,2003,ABRIL,25.502,33.178,17.825
106,Chulucanas,2003,ABRIL,19.142,28.606,9.679
107,Buenos Aires,2003,ABRIL,17.875,25.829,9.920
108,Chalaco,2003,ABRIL,18.776,28.142,9.410
109,La Matanza,2003,ABRIL,20.849,30.636,11.063
110,Morropón,2003,ABRIL,26.564,34.185,18.942
111,Salitral,2003,ABRIL,18.983,28.462,9.504
112,San Juan de Bigote,2003,ABRIL,22.385,32.765,12.005
113,Santa Catalina de Mossa,2003,ABRIL,16.389,25.388,7.390
114,Santo Domingo,2003,ABRIL,20.249,30.022,10.476
115,Yamango,2003,ABRIL,24.690,34.025,15.356
116,Huancabamba,2003,ABRIL,24.849,35.191,14.507
117,Canchaque,2003,ABRIL,18.687,27.999,9.374
118,El Carmen de la Frontera,2003,ABRIL,24.504,32.552,16.457
119,Huarmaca,2003,ABRIL,20.165,27.797,12.532
120,Lalaquiz,2003,ABRIL,19.220,27.770,10.669
121,San Miguel de El Faique,2003,ABRIL,25.727,32.806,18.648
122,Sondor,2003,ABRIL,23.364,32.510,14.217
123,Sondorillo,2003,ABRIL,24.219,34.079,14.360
124,Ayabaca,2003,ABRIL,20.498,31.038,9.958
125,Frías,2003,ABRIL,28.017,34.669,21.364
126,Jililí,2003,ABRIL,24.725,32.238,17.212
127,Lagunas,2003,ABRIL,16.878,26.439,7.317
128,Montero,2003,ABRIL,25.255,32.240,18.271
129,Pacaipampa,2003,ABRIL,26.171,33.622,18.720
130,Paimas,2003,ABRIL,18.879,28.762,8.995
131,Sapillica,2003,ABRIL,21.973,30.707,13.239
132,Paita,2003,MAYO,22.276,32.373,12.180
133,Amotape,2003,MAYO,17.821,26.199,9.442
134,Colán,2003,MAYO,22.579,31.474,13.684
135,El Arenal,2003,MAYO,30.054,37.822,22.286
136,La Huaca,2003,MAYO,27.315,36.938,17.692
137,Tamarindo,2003,MAYO,27.022,35.104,18.939
138,Vichayal,2003,MAYO,26.140,32.788,19.493
139,Chulucanas,2003,MAYO,23.584,33.447,13.720
140,Buenos Aires,2003,MAYO,19.273,27.155,11.390
141,Chalaco,2003,MAYO,22.947,33.012,12.882
142,La Matanza,2003,MAYO,22.808,32.416,13.200
143,Morropón,2003,MAYO,27.345,34.741,19.948
144,Salitral,2003,MAYO,20.662,29.696,11.628
145,San Juan de Bigote,2003,MAYO,24.514,34.597,14.431
146,Santa Catalina de Mossa,2003,MAYO,17.583,26.349,8.817
147,Santo Domingo,2003,MAYO,22.321,31.764,12.878
148,Yamango,2003,MAYO,25.475,34.066,16.885
149,Huancabamba,2003,MAYO,26.656,37.154,16.158
150,Canchaque,2003,MAYO,21.211,31.137,11.285
151,El Carmen de la Frontera,2003,MAYO,25.293,32.911,17.676
152,Huarmaca,2003,MAYO,21.869,29.254,14.484
153,Lalaquiz,2003,MAYO,21.941,30.554,13.328
154,San Miguel de El Faique,2003,MAYO,27.906,34.558,21.255
155,Sondor,2003,MAYO,26.660,35.369,17.950
156,Sondorillo,2003,MAYO,27.425,37.267,17.583
157,Ayabaca,2003,MAYO,25.467,36.651,14.283
158,Frías,2003,MAYO,30.762,37.529,23.994
159,Jililí,2003,MAYO,28.952,36.370,21.534
160,Lagunas,2003,MAYO,17.910,27.238,8.582
161,Montero,2003,MAYO,28.266,35.423,21.110
162,Pacaipampa,2003,MAYO,30.264,37.978,22.549
163,Paimas,2003,MAYO,22.086,32.480,11.691
164,Sapillica,2003,MAYO,24.450,33.182,15.717
165,Paita,2003,JUNIO,21.609,29.681,13.538
166,Amotape,2003,JUNIO,20.662,28.543,12.780
167,Colán,2003,JUNIO,24.046,32.371,15.721
168,El Arenal,2003,JUNIO,28.691,35.230,22.151
169,La Huaca,2003,JUNIO,27.494,35.340,19.647
170,Tamarindo,2003,JUNIO,27.116,32.577,21.656
171,Vichayal,2003,JUNIO,24.824,30.587,19.061
172,Chulucanas,2003,JUNIO,25.483,34.008,16.958
173,Buenos Aires,2003,JUNIO,17.255,23.012,11.498
174,Chalaco,2003,JUNIO,22.726,31.181,14.271
175,La Matanza,2003,JUNIO,21.176,28.573,13.779
176,Morropón,2003,JUNIO,25.457,31.414,19.500
177,Salitral,2003,JUNIO,19.329,26.185,12.472
178,San Juan de Bigote,2003,JUNIO,23.814,30.882,16.746
179,Santa Catalina de Mossa,2003,JUNIO,16.136,22.297,9.976
180,Santo Domingo,2003,JUNIO,19.998,26.486,13.511
181,Yamango,2003,JUNIO,22.799,28.850,16.748
182,Huancabamba,2003,JUNIO,27.685,35.426,19.944
183,Canchaque,2003,JUNIO,20.462,29.296,11.627
184,El Carmen de la Frontera,2003,JUNIO,23.668,29.824,17.512
185,Huarmaca,2003,JUNIO,20.855,26.575,15.135
186,Lalaquiz,2003,JUNIO,19.470,25.594,13.347
187,San Miguel de El Faique,2003,JUNIO,27.515,33.203,21.828
188,Sondor,2003,JUNIO,25.505,32.834,18.176
189,Sondorillo,2003,JUNIO,29.724,37.559,21.888
190,Ayabaca,2003,JUNIO,29.004,39.227,18.780
191,Frías,2003,JUNIO,29.092,34.773,23.411
