,ENTIDAD,Mes,A?,Tipo_sequia,Precipitacion,Temperatura_promedio,Temperatura_maxima,Temperatura_minima,Sembrada_ha,Cosechada_ha,perdida_ha,producto
0,Paita,1,2005,NPS,0,12.69969613,22.64372677,2.755665489,47286,43031,4255,maiz
1,Paita,1,2005,NPS,0,12.69969613,22.64372677,2.755665489,11950,10570,1380,frijol
2,Paita,1,2006,D0,4.8,13.12892159,24.1147337,2.143109475,39600,17684,21916,maiz
3,Paita,1,2006,D0,4.8,13.12892159,24.1147337,2.143109475,10819,6602,4217,frijol
4,Paita,1,2007,NPS,17.2,13.32024144,21.93207885,4.860635439,37727,31610,6117,maiz
5,Paita,1,2007,NPS,17.2,13.32024144,21.93207885,4.860635439,9707,9044,663,frijol
6,Paita,1,2008,D0,0,13.06813374,23.74612076,2.408300248,43326,15204,28122,maiz
7,Paita,1,2008,D0,0,13.06813374,23.74612076,2.408300248,9898,2859,7039,frijol
8,Paita,1,2009,NPS,0.8,13.71035918,24.15336084,3.267357513,48110,46495,1615,maiz
9,Paita,1,2009,NPS,0.8,13.71035918,24.15336084,3.267357513,10074,7870,2204,frijol
10,Paita,1,2010,NPS,32.7,11.3873196,20.06620821,2.708430997,34734,2591,32143,maiz
11,Paita,1,2010,NPS,32.7,11.3873196,20.06620821,2.708430997,8854,582,8272,frijol
12,Paita,1,2011,NPS,0.5,12.75319757,23.63517098,1.871224151,39361,12833,26528,maiz
13,Paita,1,2011,NPS,0.5,12.75319757,23.63517098,1.871224151,10414,5341,5073,frijol
14,Paita,1,2012,D3,11.1,12.9,23,3.2,4778,200,4578,frijol
15,Paita,1,2013,NPS,51.64,13.38786896,21.62182833,5.153909583,35322,13533,21789,maiz
16,Paita,1,2013,NPS,51.64,13.38786896,21.62182833,5.153909583,9280,5691,3589,frijol
17,Paita,1,2014,NPS,5.76,12.4,21.1,3.8,37091,33570,3521,maiz
18,Paita,1,2014,NPS,5.76,12.4,21.1,3.8,9436,8144,1292,frijol
19,Paita,1,2015,NPS,7.05,13.9,22.1,5.7,33710,28013,5697,maiz
20,Paita,1,2015,NPS,7.05,13.9,22.1,5.7,7855,7443,412,frijol
21,Paita,1,2016,NPS,4.42,12.1,21.7,2.6,31644,25325,6319,maiz
22,Paita,1,2016,NPS,4.42,12.1,21.7,2.6,8200,7031,1169,frijol
23,Paita,1,2017,NPS,0.44,13.8,24,3.7,31387,28980,2407,maiz
24,Paita,1,2017,NPS,0.44,13.8,24,3.7,9007,8387,620,frijol
25,Paita,1,2018,NPS,35.45,13,22.6,3.3,32322,32322,0,maiz
26,Paita,1,2018,NPS,35.45,13,22.6,3.3,7386,7386,0,frijol
27,Paita,1,2019,NPS,11.29,14,23.1,4.8,32330,32129,201,maiz
28,Paita,1,2019,NPS,11.29,14,23.1,4.8,7391,7387,4,frijol
29,Paita,1,2020,NPS,38.5,13,21.6,4.4,24783,13276,11507,maiz
30,Paita,1,2020,NPS,38.5,13,21.6,4.4,4598,2171,2427,frijol
31,Paita,2,2005,NPS,46.7,14.34889919,22.94649879,5.751299585,47286,43031,4255,maiz
32,Paita,2,2005,NPS,46.7,14.34889919,22.94649879,5.751299585,11950,10570,1380,frijol
33,Paita,2,2006,D1,0.5,16.00256391,26.86854887,5.136578947,39600,17684,21916,maiz
34,Paita,2,2006,D1,0.5,16.00256391,26.86854887,5.136578947,10819,6602,4217,frijol
35,Paita,2,2007,NPS,16.2,13.65418783,23.616185,3.926744115,37727,31610,6117,maiz
36,Paita,2,2007,NPS,16.2,13.65418783,23.616185,3.926744115,9707,9044,663,frijol
37,Paita,2,2008,NPS,3.1,15.00941413,26.54410628,3.64670312,43326,15204,28122,maiz
38,Paita,2,2008,NPS,3.1,15.00941413,26.54410628,3.64670312,9898,2859,7039,frijol
39,Paita,2,2009,NPS,0,15.0675184,26.63748388,3.49755291,48110,46495,1615,maiz
40,Paita,2,2009,NPS,0,15.0675184,26.63748388,3.49755291,10074,7869,2205,frijol
41,Paita,2,2010,NPS,109,12.22394134,20.26900772,4.178874952,34734,2591,32143,maiz
42,Paita,2,2010,NPS,109,12.22394134,20.26900772,4.178874952,8854,582,8272,frijol
43,Paita,2,2011,NPS,0,15.17045984,26.32473346,4.016186209,39361,12833,26528,maiz
44,Paita,2,2011,NPS,0,15.17045984,26.32473346,4.016186209,10414,5341,5073,frijol
45,Paita,2,2012,D1,51.9,14,21.2,6.4,4778,200,4578,frijol
46,Paita,2,2013,NPS,0.03,15.640672,26.45110946,4.830234542,35672,17099,18573,maiz
47,Paita,2,2013,NPS,0.03,15.640672,26.45110946,4.830234542,9280,5691,3589,frijol
48,Paita,2,2014,NPS,0.26,15.4,26.2,4.7,37091,33570,3521,maiz
49,Paita,2,2014,NPS,0.26,15.4,26.2,4.7,9436,8144,1292,frijol
50,Paita,2,2015,NPS,32.7,14.5,22.9,6,33710,28013,5697,maiz
51,Paita,2,2015,NPS,32.7,14.5,22.9,6,7855,7443,412,frijol
52,Paita,2,2016,NPS,9.57,15,25.3,4.7,31644,25325,6319,maiz
53,Paita,2,2016,NPS,9.57,15,25.3,4.7,8200,7031,1169,frijol
54,Paita,2,2017,D0,2.1,14.7,25.1,4.2,31387,28980,2407,maiz
55,Paita,2,2017,D0,2.1,14.7,25.1,4.2,9007,8387,620,frijol
56,Paita,2,2018,NPS,28.57,16.7,25.1,8.4,32322,32322,0,maiz
57,Paita,2,2018,NPS,28.57,16.7,25.1,8.4,7386,7386,0,frijol
58,Paita,2,2019,NPS,0.03,16.9,26.7,7.1,32330,32330,0,maiz
59,Paita,2,2019,NPS,0.03,16.9,26.7,7.1,7391,7391,0,frijol
60,Paita,2,2020,NPS,28.4,15,23.7,6.2,24783,13276,11507,maiz
61,Paita,2,2020,NPS,28.4,15,23.7,6.2,4598,2171,2427,frijol
62,Paita,3,2014,NPS,2.24,17.5,27.6,7.4,37091,33570,3521,maiz
63,Paita,3,2014,NPS,2.24,17.5,27.6,7.4,9436,8144,1292,frijol
64,Paita,3,2015,NPS,90.84,15.3,23.1,7.5,33710,28013,5697,maiz
65,Paita,3,2015,NPS,90.84,15.3,23.1,7.5,7855,7443,412,frijol
66,Paita,3,2016,NPS,12.72,17,26.2,7.7,31644,25325,6319,maiz
67,Paita,3,2016,NPS,12.72,17,26.2,7.7,8200,7031,1169,frijol
68,Paita,3,2019,NPS,0.41,19,29.3,8.7,7391,7391,0,frijol
69,Paita,3,2020,NPS,1.5,19.3,29,9.5,4598,2171,2427,frijol
70,Paita,8,2017,D0,143.83,21.3,28,14.7,7386,2114,5272,frijol
