Distrito;Mes;Año;Tipo_sequia
Paita;1;2003;NPS
Paita;1;2004;NPS
Paita;1;2005;NPS
Paita;1;2006;D0
Paita;1;2007;NPS
Paita;1;2008;D0
Paita;1;2009;NPS
Paita;1;2010;NPS
Paita;1;2011;NPS
Paita;1;2012;D3
Paita;1;2013;NPS
Paita;1;2014;NPS
Paita;1;2015;NPS
Paita;1;2016;NPS
Paita;1;2017;NPS
Paita;1;2018;NPS
Paita;1;2019;NPS
Paita;1;2020;NPS
Paita;1;2021;D1
Paita;2;2003;NPS
Paita;2;2004;NPS
Paita;2;2005;NPS
Paita;2;2006;D1
Paita;2;2007;NPS
Paita;2;2008;NPS
Paita;2;2009;NPS
Paita;2;2010;NPS
Paita;2;2011;NPS
Paita;2;2012;D1
Paita;2;2013;NPS
Paita;2;2014;NPS
Paita;2;2015;NPS
Paita;2;2016;NPS
Paita;2;2017;D0
Paita;2;2018;NPS
Paita;2;2019;NPS
Paita;2;2020;NPS
Paita;2;2021;D1
Paita;3;2003;NPS
Paita;3;2004;NPS
Paita;3;2005;NPS
Paita;3;2006;D2
Paita;3;2007;NPS
Paita;3;2008;D1
Paita;3;2009;NPS
Paita;3;2010;NPS
Paita;3;2011;D1
Paita;3;2012;D1
Paita;3;2013;NPS
Paita;3;2014;NPS
Paita;3;2015;NPS
Paita;3;2016;NPS
Paita;3;2017;D0
Paita;3;2018;NPS
Paita;3;2019;NPS
Paita;3;2020;NPS
Paita;3;2021;D1
Paita;4;2003;NPS
Paita;4;2004;NPS
Paita;4;2005;NPS
Paita;4;2006;D2
Paita;4;2007;D0
Paita;4;2008;D1
Paita;4;2009;NPS
Paita;4;2010;NPS
Paita;4;2011;D2
Paita;4;2012;D1
Paita;4;2013;NPS
Paita;4;2014;D0
Paita;4;2015;NPS
Paita;4;2016;NPS
Paita;4;2017;D0
Paita;4;2018;NPS
Paita;4;2019;NPS
Paita;4;2020;NPS
Paita;4;2021;D2
Paita;5;2003;NPS
Paita;5;2004;NPS
Paita;5;2005;NPS
Paita;5;2006;D1
Paita;5;2007;D0
Paita;5;2008;D1
Paita;5;2009;NPS
Paita;5;2010;NPS
Paita;5;2011;D2
Paita;5;2012;D0
Paita;5;2013;D0
Paita;5;2014;NPS
Paita;5;2015;NPS
Paita;5;2016;NPS
Paita;5;2017;D1
Paita;5;2018;NPS
Paita;5;2019;D0
Paita;5;2020;NPS
Paita;5;2021;D2
Paita;6;2003;NPS
Paita;6;2004;NPS
Paita;6;2005;D0
Paita;6;2006;D1
Paita;6;2007;NPS
Paita;6;2008;D1
Paita;6;2009;NPS
Paita;6;2010;NPS
Paita;6;2011;D2
Paita;6;2012;D0
Paita;6;2013;D0
Paita;6;2014;NPS
Paita;6;2015;NPS
Paita;6;2016;NPS
Paita;6;2017;D1
Paita;6;2018;NPS
Paita;6;2019;D1
Paita;6;2020;NPS
Paita;6;2021;D1
Paita;7;2003;NPS
Paita;7;2004;NPS
Paita;7;2005;NPS
Paita;7;2006;D0
Paita;7;2007;NPS
Paita;7;2008;NPS
Paita;7;2009;D0
Paita;7;2010;NPS
Paita;7;2011;D3
Paita;7;2012;D0
Paita;7;2013;NPS
Paita;7;2014;NPS
Paita;7;2015;NPS
Paita;7;2016;D0
Paita;7;2017;D1
Paita;7;2018;NPS
Paita;7;2019;D1
Paita;7;2020;NPS
Paita;7;2021;NPS
Paita;8;2003;NPS
Paita;8;2004;NPS
Paita;8;2005;NPS
Paita;8;2006;NPS
Paita;8;2007;NPS
Paita;8;2008;NPS
Paita;8;2009;D0
Paita;8;2010;NPS
Paita;8;2011;D2
Paita;8;2012;NPS
Paita;8;2013;NPS
Paita;8;2014;NPS
Paita;8;2015;NPS
Paita;8;2016;NPS
Paita;8;2017;D0
Paita;8;2018;NPS
Paita;8;2019;D0
Paita;8;2020;NPS
Paita;8;2021;NPS
Paita;9;2003;NPS
Paita;9;2004;NPS
Paita;9;2005;NPS
Paita;9;2006;NPS
Paita;9;2007;D0
Paita;9;2008;NPS
Paita;9;2009;D0
Paita;9;2010;NPS
Paita;9;2011;D3
Paita;9;2012;NPS
Paita;9;2013;NPS
Paita;9;2014;NPS
Paita;9;2015;NPS
Paita;9;2016;NPS
Paita;9;2017;NPS
Paita;9;2018;NPS
Paita;9;2019;D0
Paita;9;2020;NPS
Paita;10;2003;NPS
Paita;10;2004;NPS
Paita;10;2005;NPS
Paita;10;2006;NPS
Paita;10;2007;NPS
Paita;10;2008;NPS
Paita;10;2009;D0
Paita;10;2010;NPS
Paita;10;2011;D3
Paita;10;2012;NPS
Paita;10;2013;NPS
