Distritos,Sembrada_ha,Cosechada_ha,Ano,Mes,Tipo_sequia,perdida_ha,producto
Tamarindo,95263,2676,2004,1,NPS,92587,maiz
Lalaquiz,4040,500,2004,1,NPS,3540,maiz
Tamarindo,99607,5594,2004,2,NPS,94013,maiz
La Matanza,811,12,2004,2,NPS,799,maiz
Yamango,2494,40,2004,2,NPS,2454,maiz
Canchaque,54644,368,2004,2,NPS,54276,maiz
Lalaquiz,5988,4000,2004,2,NPS,1988,maiz
San Miguel del Faique,13173,4057,2004,2,NPS,9116,maiz
Sondor,7663,1973,2004,2,NPS,5690,maiz
Lagunas,176739,266,2004,2,NPS,176473,maiz
Colán,4728,1717,2004,3,NPS,3011,maiz
Tamarindo,99900,24716,2004,3,NPS,75184,maiz
La Matanza,811,455,2004,3,NPS,356,maiz
Salitral,1219,140,2004,3,NPS,1079,maiz
Yamango,2537,950,2004,3,NPS,1587,maiz
Canchaque,54644,13828,2004,3,NPS,40816,maiz
Lalaquiz,5988,4385,2004,3,NPS,1603,maiz
San Miguel del Faique,13449,6630,2004,3,NPS,6819,maiz
Sondor,7814,3247,2004,3,NPS,4567,maiz
Ayabaca,42411,2965,2004,3,NPS,39446,maiz
Frías,21882,1600,2004,3,NPS,20282,maiz
Lagunas,194122,5514,2004,3,NPS,188608,maiz
Colán,4728,2873,2004,4,NPS,1855,maiz
Tamarindo,99910,51328,2004,4,NPS,48582,maiz
La Matanza,811,781,2004,4,NPS,30,maiz
Morropón,23566,7239,2004,4,NPS,16327,maiz
Salitral,1247,869,2004,4,NPS,378,maiz
Yamango,2537,2341,2004,4,NPS,196,maiz
Canchaque,54644,36633,2004,4,NPS,18011,maiz
Lalaquiz,5988,4385,2004,4,NPS,1603,maiz
San Miguel del Faique,12804,8483,2004,4,NPS,4321,maiz
Sondor,7814,7176,2004,4,NPS,638,maiz
Ayabaca,42411,11860,2004,4,NPS,30551,maiz
Frías,22515,2829,2004,4,NPS,19686,maiz
Lagunas,194638,49692,2004,4,NPS,144946,maiz
Montero,1050,1050,2004,4,NPS,0,maiz
Amotape,2,2,2004,5,D1,0,maiz
Colán,4728,2873,2004,5,NPS,1855,maiz
Tamarindo,99910,60301,2004,5,NPS,39609,maiz
La Matanza,811,803,2004,5,NPS,8,maiz
Morropón,23566,22138,2004,5,NPS,1428,maiz
Salitral,1247,979,2004,5,NPS,268,maiz
Yamango,2565,2371,2004,5,D0,194,maiz
Canchaque,54644,49230,2004,5,NPS,5414,maiz
Lalaquiz,5988,4385,2004,5,NPS,1603,maiz
San Miguel del Faique,12804,11728,2004,5,NPS,1076,maiz
Sondor,7814,7327,2004,5,NPS,487,maiz
Ayabaca,42411,33066,2004,5,NPS,9345,maiz
