ENTIDAD,Mes,Precipitacion,Ano
PAITA,1,4.9,2003
AMOTAPE,1,2.1,2003
COLÁN,1,2.1,2003
EL ARENAL,1,8.8,2003
CHULUCANAS,1,8.8,2003
BUENOS AIRES,1,0.7,2003
LA HUACA,1,23.9,2003
TAMARINDO,1,6.8,2003
VICHAYAL,1,0.3,2003
CHALACO,1,7,2003
MORROPÓN,1,15,2003
SALITRAL,1,0.3,2003
SAN JUAN DE BIGOTES,1,15,2003
SANTA CATALINA DE MOSSA,1,2.7,2003
LA MATANZA,1,2.1,2003
SANTO DOMINGO,1,10.7,2003
MONTERO,1,0,2003
HUANCABAMBA,1,0.2,2003
CANCHAQUE,1,26.6,2003
CARMEN DE LA FRONTERA,1,42.6,2003
HUARMACA,1,33.8,2003
LALAQUIZ,1,6.4,2003
SAN MIGUEL DEL FAIQUE,1,31.6,2003
SAPILLICA,1,25.3,2003
SONDOR,1,0.6,2003
SONDORILLO,1,0.7,2003
AYABACA,1,78.4,2003
FRIAS,1,14.5,2003
JILILÍ,1,0,2003
LAGUNAS,1,56.6,2003
PACAIPAMPA,1,5.1,2003
PAIMAS,1,3.1,2003
PAITA,2,1.2,2003
AMOTAPE,2,14.3,2003
COLÁN,2,14.3,2003
EL ARENAL,2,17,2003
CHULUCANAS,2,17,2003
BUENOS AIRES,2,0,2003
LA HUACA,2,13.5,2003
TAMARINDO,2,28.8,2003
VICHAYAL,2,1.5,2003
CHALACO,2,11.7,2003
MORROPÓN,2,3,2003
SALITRAL,2,0,2003
SAN JUAN DE BIGOTES,2,7.2,2003
SANTA CATALINA DE MOSSA,2,1.6,2003
LA MATANZA,2,0.7,2003
SANTO DOMINGO,2,0.9,2003
MONTERO,2,0,2003
HUANCABAMBA,2,8.5,2003
CANCHAQUE,2,7.7,2003
CARMEN DE LA FRONTERA,2,9.5,2003
HUARMACA,2,8,2003
LALAQUIZ,2,0.2,2003
SAN MIGUEL DEL FAIQUE,2,108.3,2003
SAPILLICA,2,7.2,2003
SONDOR,2,23.4,2003
SONDORILLO,2,37.5,2003
AYABACA,2,36.3,2003
FRIAS,2,12.5,2003
JILILÍ,2,0,2003
LAGUNAS,2,13.4,2003
PACAIPAMPA,2,11.1,2003
PAIMAS,2,5.3,2003
PAITA,3,0,2003
AMOTAPE,3,1.5,2003
COLÁN,3,1.5,2003
EL ARENAL,3,9.7,2003
CHULUCANAS,3,9.7,2003
BUENOS AIRES,3,0.5,2003
LA HUACA,3,35.6,2003
TAMARINDO,3,0.8,2003
VICHAYAL,3,14,2003
CHALACO,3,0.1,2003
MORROPÓN,3,0.1,2003
SALITRAL,3,1.4,2003
SAN JUAN DE BIGOTES,3,4.1,2003
SANTA CATALINA DE MOSSA,3,0.1,2003
LA MATANZA,3,5,2003
SANTO DOMINGO,3,0.4,2003
MONTERO,3,6.1,2003
HUANCABAMBA,3,0,2003
CANCHAQUE,3,13.8,2003
CARMEN DE LA FRONTERA,3,17,2003
HUARMACA,3,14.9,2003
LALAQUIZ,3,0.3,2003
SAN MIGUEL DEL FAIQUE,3,41,2003
SAPILLICA,3,7.2,2003
SONDOR,3,1.3,2003
SONDORILLO,3,6.1,2003
AYABACA,3,64.7,2003
FRIAS,3,23.7,2003
JILILÍ,3,10.3,2003
LAGUNAS,3,21.5,2003
PACAIPAMPA,3,56.2,2003
PAIMAS,3,0,2003
PAITA,4,0.7,2003
AMOTAPE,4,0.2,2003
COLÁN,4,0.2,2003
EL ARENAL,4,7.3,2003
CHULUCANAS,4,7.3,2003
BUENOS AIRES,4,0,2003
LA HUACA,4,26.5,2003
TAMARINDO,4,3.4,2003
VICHAYAL,4,16.8,2003
CHALACO,4,2,2003
MORROPÓN,4,2.1,2003
SALITRAL,4,1.5,2003
SAN JUAN DE BIGOTES,4,21.3,2003
SANTA CATALINA DE MOSSA,4,0.4,2003
LA MATANZA,4,14.5,2003
SANTO DOMINGO,4,9.9,2003
MONTERO,4,0.8,2003
HUANCABAMBA,4,0,2003
CANCHAQUE,4,18.1,2003
CARMEN DE LA FRONTERA,4,9.8,2003
HUARMACA,4,34.3,2003
LALAQUIZ,4,9,2003
SAN MIGUEL DEL FAIQUE,4,26.6,2003
SAPILLICA,4,20.3,2003
SONDOR,4,1.3,2003
SONDORILLO,4,2,2003
AYABACA,4,22.6,2003
FRIAS,4,18.6,2003
JILILÍ,4,34.6,2003
LAGUNAS,4,34.1,2003
PACAIPAMPA,4,28.7,2003
PAIMAS,4,1.3,2003
PAITA,5,10.2,2003
AMOTAPE,5,0,2003
COLÁN,5,0,2003
EL ARENAL,5,56.4,2003
CHULUCANAS,5,56.4,2003
BUENOS AIRES,5,2.9,2003
LA HUACA,5,145.4,2003
TAMARINDO,5,11,2003
VICHAYAL,5,17,2003
CHALACO,5,10.8,2003
MORROPÓN,5,31.1,2003
SALITRAL,5,16.7,2003
SAN JUAN DE BIGOTES,5,32.9,2003
SANTA CATALINA DE MOSSA,5,11.4,2003
LA MATANZA,5,17.6,2003
SANTO DOMINGO,5,18.8,2003
MONTERO,5,24.2,2003
HUANCABAMBA,5,0,2003
CANCHAQUE,5,68.3,2003
CARMEN DE LA FRONTERA,5,39.2,2003
HUARMACA,5,64.8,2003
LALAQUIZ,5,18.4,2003
SAN MIGUEL DEL FAIQUE,5,67,2003
SAPILLICA,5,39.3,2003
SONDOR,5,0.3,2003
SONDORILLO,5,2.2,2003
AYABACA,5,120.9,2003
FRIAS,5,38.5,2003
JILILÍ,5,56.8,2003
LAGUNAS,5,59.7,2003
PACAIPAMPA,5,40,2003
PAIMAS,5,13.2,2003
PAITA,6,88.3,2003
AMOTAPE,6,0,2003
COLÁN,6,0,2003
EL ARENAL,6,45.7,2003
CHULUCANAS,6,45.7,2003
BUENOS AIRES,6,190,2003
LA HUACA,6,314.6,2003
TAMARINDO,6,36.4,2003
VICHAYAL,6,194.7,2003
CHALACO,6,61.5,2003
MORROPÓN,6,141.3,2003
SALITRAL,6,251,2003
SAN JUAN DE BIGOTES,6,106.9,2003
SANTA CATALINA DE MOSSA,6,150.9,2003
LA MATANZA,6,154.7,2003
SANTO DOMINGO,6,143.9,2003
MONTERO,6,260.2,2003
HUANCABAMBA,6,85.8,2003
CANCHAQUE,6,79.4,2003
CARMEN DE LA FRONTERA,6,346.6,2003
HUARMACA,6,233.5,2003
LALAQUIZ,6,98.1,2003
SAN MIGUEL DEL FAIQUE,6,346.5,2003
SAPILLICA,6,60.7,2003
SONDOR,6,16.8,2003
SONDORILLO,6,10,2003
AYABACA,6,217.4,2003
FRIAS,6,89,2003
JILILÍ,6,176.3,2003
LAGUNAS,6,208.7,2003
PACAIPAMPA,6,175.8,2003
PAIMAS,6,100.3,2003
PAITA,7,178.9,2003
AMOTAPE,7,18.5,2003
COLÁN,7,18.5,2003
EL ARENAL,7,95.3,2003
CHULUCANAS,7,95.3,2003
BUENOS AIRES,7,125.8,2003
LA HUACA,7,232.9,2003
TAMARINDO,7,94.1,2003
VICHAYAL,7,146.4,2003
CHALACO,7,101.2,2003
MORROPÓN,7,236.1,2003
SALITRAL,7,195.4,2003
SAN JUAN DE BIGOTES,7,89.5,2003
SANTA CATALINA DE MOSSA,7,192.5,2003
LA MATANZA,7,130.7,2003
SANTO DOMINGO,7,212,2003
MONTERO,7,127.2,2003
HUANCABAMBA,7,212.9,2003
CANCHAQUE,7,68.7,2003
CARMEN DE LA FRONTERA,7,256.3,2003
HUARMACA,7,201.7,2003
LALAQUIZ,7,151.9,2003
SAN MIGUEL DEL FAIQUE,7,154.1,2003
SAPILLICA,7,135,2003
SONDOR,7,129.8,2003
SONDORILLO,7,69.5,2003
AYABACA,7,143.5,2003
FRIAS,7,112.2,2003
JILILÍ,7,59.1,2003
LAGUNAS,7,256.4,2003
PACAIPAMPA,7,122.5,2003
PAIMAS,7,136.1,2003
PAITA,8,112.7,2003
AMOTAPE,8,161.5,2003
COLÁN,8,161.5,2003
EL ARENAL,8,42.1,2003
CHULUCANAS,8,42.1,2003
BUENOS AIRES,8,153.1,2003
LA HUACA,8,309.8,2003
TAMARINDO,8,73.8,2003
VICHAYAL,8,146.2,2003
CHALACO,8,64.2,2003
MORROPÓN,8,174.4,2003
SALITRAL,8,192.7,2003
SAN JUAN DE BIGOTES,8,96.7,2003
SANTA CATALINA DE MOSSA,8,134.4,2003
LA MATANZA,8,141.8,2003
SANTO DOMINGO,8,187.7,2003
MONTERO,8,206.1,2003
HUANCABAMBA,8,244.7,2003
CANCHAQUE,8,80.2,2003
CARMEN DE LA FRONTERA,8,178.1,2003
HUARMACA,8,283.5,2003
LALAQUIZ,8,173.5,2003
SAN MIGUEL DEL FAIQUE,8,169.5,2003
SAPILLICA,8,124.3,2003
SONDOR,8,147.9,2003
SONDORILLO,8,85.9,2003
AYABACA,8,270.5,2003
FRIAS,8,105.2,2003
JILILÍ,8,101.5,2003
LAGUNAS,8,213.2,2003
PACAIPAMPA,8,132.4,2003
PAIMAS,8,106.1,2003
PAITA,9,130.4,2003
AMOTAPE,9,122.6,2003
COLÁN,9,122.6,2003
EL ARENAL,9,117.8,2003
CHULUCANAS,9,117.8,2003
BUENOS AIRES,9,183.1,2003
LA HUACA,9,371.5,2003
TAMARINDO,9,47.7,2003
VICHAYAL,9,163.5,2003
CHALACO,9,129.4,2003
MORROPÓN,9,242.4,2003
SALITRAL,9,237.8,2003
SAN JUAN DE BIGOTES,9,151.6,2003
SANTA CATALINA DE MOSSA,9,171,2003
LA MATANZA,9,161,2003
SANTO DOMINGO,9,210,2003
MONTERO,9,326,2003
HUANCABAMBA,9,413.7,2003
CANCHAQUE,9,228.1,2003
CARMEN DE LA FRONTERA,9,303.4,2003
HUARMACA,9,431.8,2003
LALAQUIZ,9,273.8,2003
SAN MIGUEL DEL FAIQUE,9,194.7,2003
SAPILLICA,9,253,2003
SONDOR,9,180.4,2003
SONDORILLO,9,68.9,2003
AYABACA,9,234.9,2003
FRIAS,9,259.3,2003
JILILÍ,9,108,2003
LAGUNAS,9,380.2,2003
PACAIPAMPA,9,99.3,2003
PAIMAS,9,132.7,2003
PAITA,10,38.5,2003
AMOTAPE,10,7.6,2003
COLÁN,10,7.6,2003
EL ARENAL,10,84.5,2003
CHULUCANAS,10,84.5,2003
BUENOS AIRES,10,221,2003
LA HUACA,10,253.4,2003
TAMARINDO,10,67.6,2003
VICHAYAL,10,56.2,2003
CHALACO,10,46.9,2003
MORROPÓN,10,68.5,2003
SALITRAL,10,135.1,2003
SAN JUAN DE BIGOTES,10,77.3,2003
SANTA CATALINA DE MOSSA,10,66,2003
LA MATANZA,10,65.4,2003
SANTO DOMINGO,10,67.8,2003
MONTERO,10,128.4,2003
HUANCABAMBA,10,53.1,2003
CANCHAQUE,10,140.3,2003
CARMEN DE LA FRONTERA,10,186.6,2003
HUARMACA,10,202.5,2003
LALAQUIZ,10,69,2003
SAN MIGUEL DEL FAIQUE,10,238.9,2003
SAPILLICA,10,168.7,2003
SONDOR,10,26.7,2003
SONDORILLO,10,20.5,2003
AYABACA,10,331,2003
FRIAS,10,176,2003
JILILÍ,10,59.5,2003
LAGUNAS,10,232.9,2003
PACAIPAMPA,10,111.9,2003
PAIMAS,10,46.5,2003
PAITA,11,1.4,2003
AMOTAPE,11,1.6,2003
COLÁN,11,1.6,2003
EL ARENAL,11,5.2,2003
CHULUCANAS,11,5.2,2003
BUENOS AIRES,11,0,2003
LA HUACA,11,155.4,2003
TAMARINDO,11,4.4,2003
VICHAYAL,11,11.3,2003
CHALACO,11,1.7,2003
MORROPÓN,11,7.3,2003
SALITRAL,11,8.2,2003
SAN JUAN DE BIGOTES,11,19,2003
SANTA CATALINA DE MOSSA,11,4.9,2003
LA MATANZA,11,14.5,2003
SANTO DOMINGO,11,10.2,2003
MONTERO,11,20.6,2003
HUANCABAMBA,11,0,2003
CANCHAQUE,11,17.7,2003
CARMEN DE LA FRONTERA,11,67,2003
HUARMACA,11,60.1,2003
LALAQUIZ,11,2.6,2003
SAN MIGUEL DEL FAIQUE,11,127.9,2003
SAPILLICA,11,24.6,2003
SONDOR,11,2.4,2003
SONDORILLO,11,5.3,2003
AYABACA,11,436.5,2003
FRIAS,11,18.7,2003
JILILÍ,11,10.4,2003
LAGUNAS,11,149.4,2003
